length,width,thickness,surfacearea,mass,compactness,hardness,shelltopradius,watercontent,carbohydratecontent,variety
11.67,12.8025,8.055074738,34.65,1375.5,0.93005,19.145,4.4604,0.048667685,0.175,c_avellana
13.86,13.0995,7.349906812,38.1,1439.55,0.93401,8.78,4.7844,0.048826089,0.167,c_avellana
20.53,15.5925,9.565426582,49.89,1623.3,0.96217,5.12,5.2893,0.049521325,0.174,c_americana
14.13,12.222,7.182948645,35.43,1412.25,0.90178,13.694,4.8168,0.049594663,0.167,c_avellana
15.85,14.724,8.622661318,43.29,1512,0.96261,10.925,4.6296,0.050384315,0.173,c_americana
21.11,17.4105,9.680494488,56.25,1698.9,0.98989,11.564,5.3928,0.050905478,0.17,c_cornuta
25.13,16.9785,9.931461322,60.48,1788.15,0.96085,4.73,5.5665,0.05098881,0.175,c_avellana
15.41,13.8285,8.078300047,39.96,1463.7,0.94743,20.105,4.896,0.051079693,0.172,c_avellana
16.09,14.211,8.16274649,42.03,1500.45,0.94875,5.651,4.6188,0.051662482,0.172,c_americana
19.78,16.173,9.75182248,51.78,1651.65,0.96393,12.617,5.2119,0.051698267,0.175,c_cornuta
22.19,16.578,9.920309777,56.16,1715.7,0.9691,5.564,5.4873,0.051753677,0.171,c_cornuta
11.8,11.835,7.190370284,32.46,1347.15,0.90816,13.559,4.5801,0.051917287,0.167,c_avellana
12.67,12.8115,7.957211022,36.15,1408.05,0.92576,13.964,4.5414,0.052316298,0.175,c_avellana
16.78,14.661,8.36394995,44.58,1540.35,0.95436,5.387,4.8159,0.052942112,0.175,c_americana
19.79,16.8975,9.552256412,54.9,1668.45,1.00188,7.511,5.3658,0.053145593,0.174,c_cornuta
15.16,13.7925,8.493575412,40.35,1472.1,0.94644,9.593,4.5873,0.05316132,0.169,c_americana
12.62,13.617,7.583930734,38.34,1424.85,0.95876,2.528,4.3038,0.053534027,0.168,c_americana
21.54,17.685,10.08375965,57.33,1707.3,0.99891,7.808,5.4711,0.053632816,0.171,c_cornuta
12.2,12.1185,7.042532981,33.54,1369.2,0.90926,8.996,4.5009,0.053825341,0.174,c_avellana
21.73,16.4295,9.962191063,54.81,1689.45,0.9757,6.329,5.5773,0.054702297,0.174,c_cornuta
14.51,12.9555,8.032617966,37.62,1435.35,0.92675,8.246,4.9419,0.054749949,0.166,c_avellana
12.24,13.3515,7.675903081,36.66,1398.6,0.95172,15.407,4.6989,0.05475062,0.17,c_avellana
14.39,14.3955,8.555908975,41.67,1472.1,0.9768,10.958,4.2642,0.054843719,0.166,c_americana
15.54,14.9985,9.318823312,44.64,1529.85,0.96921,2.054,4.4604,0.054866503,0.169,c_americana
9.84,14.1075,8.791853663,38.01,1398.6,0.98747,5.9,4.2705,0.054888833,0.167,c_avellana
12.5,12.0375,7.410269832,33.57,1370.25,0.90783,16.439,4.6971,0.054992029,0.168,c_avellana
23.15,17.829,9.985067802,60.72,1775.55,0.97867,16.703,5.5692,0.05512268,0.175,c_cornuta
16.74,15.453,8.644009428,47.34,1565.55,0.98153,15.779,4.6224,0.055197654,0.171,c_americana
19.8,16.9695,10.1220446,55.29,1676.85,0.99847,7.952,5.3145,0.055314833,0.175,c_cornuta
14.17,12.7665,8.000060327,36.45,1412.25,0.92873,9.914,4.8042,0.055338534,0.171,c_avellana
14.12,12.969,7.760023958,38.19,1443.75,0.93038,9.599,4.5603,0.055633783,0.172,c_americana
13.19,13.0365,7.864724394,37.32,1426.95,0.93082,13.772,4.743,0.055693119,0.171,c_avellana
17.01,15.2685,9.476821833,46.08,1549.8,0.97471,3.101,4.6188,0.055867923,0.168,c_americana
13.86,14.904,8.556407624,43.14,1492.05,0.98461,6.386,4.4604,0.056028863,0.166,c_americana
10.76,13.689,7.995471866,37.08,1384.95,0.98153,8.66,4.1445,0.056191072,0.17,c_americana
15.45,14.8095,9.050030813,44.37,1524.6,0.97009,7.112,4.5999,0.05687435,0.167,c_americana
12.26,13.7205,8.256022097,38.16,1424.85,0.95546,11.306,4.4226,0.057657046,0.175,c_americana
11.8,12.411,7.2185842,34.44,1370.25,0.93203,16.628,4.5018,0.057950369,0.174,c_avellana
10.9,12.4875,7.691875707,34.23,1359.75,0.9416,13.871,4.3425,0.058176667,0.167,c_avellana
14.72,13.473,7.608560127,39.21,1461.6,0.9328,14.912,4.8555,0.058405077,0.175,c_avellana
20.64,15.3135,8.914336865,51.96,1670.55,0.94589,10.472,5.3298,0.058438453,0.17,c_cornuta
11.4,12.5775,6.98960415,33.69,1352.4,0.93621,11.975,4.5027,0.058464919,0.168,c_avellana
22.45,17.1675,10.45596871,57.45,1727.25,0.9779,8.252,5.5665,0.058838096,0.174,c_cornuta
17.18,15.8625,9.116173069,49.23,1601.25,0.97526,11.651,5.0562,0.05892231,0.174,c_cornuta
22.59,16.8165,9.674444391,57.42,1744.05,0.95942,19.046,5.4477,0.059076494,0.166,c_cornuta
16.18,15.7815,9.251150881,47.64,1564.5,0.98868,1.2953,4.5819,0.059455195,0.174,c_americana
11.08,12.825,7.362560442,34.95,1372.35,0.94325,14.627,4.6215,0.059481271,0.171,c_avellana
13.95,13.815,8.106772596,39.66,1453.2,0.9548,11.471,4.5792,0.059650127,0.167,c_americana
14.82,14.013,7.845019517,41.22,1475.25,0.96184,7.796,4.3425,0.060124494,0.168,c_americana
15.69,14.1885,8.107844387,43.11,1510.95,0.95986,3.392,4.77,0.060149762,0.171,c_americana
17.09,15.6825,9.387166599,48.36,1575,0.99,5.81,4.8987,0.060595977,0.169,c_americana
13.17,11.916,7.475322687,32.37,1357.65,0.89177,15.386,4.6746,0.060652211,0.174,c_avellana
22.48,16.8975,9.483580139,56.85,1724.1,0.97119,9.104,5.5332,0.060790747,0.174,c_cornuta
12.36,13.5765,7.797966216,37.38,1408.05,0.95766,13.961,4.6323,0.060836436,0.167,c_avellana
13.97,14.841,8.427457722,42.84,1487.85,0.98384,19.055,4.5009,0.061081849,0.171,c_americana
12.05,15.597,9.16510172,44.1,1492.05,1.00683,4.301,4.1841,0.061291127,0.17,c_americana
11.59,13.644,8.079217898,36.33,1414.35,0.92312,3.506,4.0671,0.061467968,0.175,c_americana
21.52,17.127,10.0469195,56.55,1697.85,0.99616,7.529,5.58,0.061568937,0.17,c_cornuta
10.88,12.0375,6.893217743,32.73,1344,0.92092,11.537,4.4604,0.061895973,0.174,c_avellana
12.36,13.3875,7.836159152,36.33,1393.35,0.95029,11.396,4.5108,0.061940393,0.171,c_avellana
13.84,15.354,8.710099753,44.76,1515.15,0.99066,2.426,4.5792,0.062113108,0.169,c_americana
11.86,12.195,6.849611384,33.78,1366.05,0.91905,15.005,4.5828,0.062272832,0.171,c_avellana
15.04,14.3955,8.420361285,42.99,1499.4,0.97141,8.984,4.7016,0.062469508,0.168,c_americana
12.43,13.383,8.245929186,36.9,1400.7,0.95524,15.911,4.5567,0.062689118,0.17,c_avellana
22.72,16.6185,9.882405112,56.43,1710.45,0.97966,8.711,5.4477,0.063331451,0.168,c_cornuta
14.77,15.5925,8.681918227,46.14,1539.3,0.9889,9.8,4.8951,0.063525818,0.169,c_cornuta
13.2,14.076,8.283940511,40.11,1446.9,0.97339,13.01,4.5819,0.064528794,0.167,c_avellana
8.99,12.5415,7.272806484,31.77,1303.05,0.95128,13.925,4.3146,0.064562308,0.173,c_avellana
23.66,17.1045,9.807424291,58.53,1754.55,0.9658,7.886,5.5665,0.064568194,0.174,c_cornuta
25.63,17.9595,10.80490014,62.91,1811.25,0.97449,13.031,5.6844,0.064581556,0.173,c_cornuta
17.41,14.0085,8.426143821,43.56,1533,0.94127,3.443,4.9383,0.064897515,0.175,c_americana
15.41,14.4945,8.398454473,42.33,1488.9,0.9702,7.262,4.5342,0.066046261,0.17,c_americana
24.5,18.144,10.19332959,62.64,1790.25,0.99341,14.048,5.6889,0.06648087,0.172,c_cornuta
24.45,16.3755,9.680966622,56.82,1731.45,0.9625,14.192,5.7258,0.066741898,0.171,c_cornuta
12.04,13.32,8.01077206,37.11,1414.35,0.94237,10.757,4.5009,0.06680396,0.169,c_avellana
18.26,15.588,9.500715272,48.6,1603.35,0.96074,7.469,4.9743,0.067077366,0.173,c_americana
19.98,15.678,8.775622037,50.52,1645.35,0.94853,13.025,5.2893,0.067703751,0.171,c_cornuta
10.53,12.8205,7.852431104,34.02,1351.35,0.94556,9.041,4.5027,0.067890403,0.171,c_avellana
10.88,12.4335,7.105949065,33.81,1361.85,0.92609,11.927,4.5,0.068260855,0.173,c_avellana
18.84,15.7725,9.255819473,49.32,1601.25,0.9768,4.907,4.9797,0.068389071,0.168,c_americana
11.39,14.0355,7.821242765,38.64,1417.5,0.97669,6.056,4.1463,0.068473185,0.166,c_americana
15.2,14.256,8.813629368,42.33,1497.3,0.95942,7.064,4.6971,0.068733821,0.172,c_americana
13.48,14.202,8.844218686,40.62,1454.25,0.97581,6.761,4.6602,0.068855088,0.175,c_americana
11.05,13.2345,7.401979293,36.3,1380.75,0.96723,5.603,4.5504,0.069035529,0.175,c_avellana
23.03,17.0595,9.598926987,58.14,1755.6,0.95876,10.034,5.3685,0.069073925,0.172,c_cornuta
17.02,14.454,8.389033566,45.09,1550.85,0.95238,4.799,4.8951,0.069286676,0.166,c_americana
19.79,16.5915,10.06637609,53.94,1664.25,0.98923,5.771,5.3271,0.069456059,0.171,c_cornuta
16.56,14.796,8.623290613,44.4,1524.6,0.97053,8.336,4.7781,0.069512197,0.169,c_americana
19.27,15.471,9.481646102,50.31,1640.1,0.95018,13.76,5.2155,0.069899161,0.174,c_cornuta
20.59,16.0335,9.450828688,54.42,1692.6,0.96492,9.857,5.4099,0.070337865,0.167,c_cornuta
14.05,12.492,7.789589276,36.03,1419.6,0.90739,19.976,4.743,0.070651532,0.172,c_avellana
20.33,16.0785,9.655309264,52.89,1665.3,0.968,10.241,5.3361,0.071051311,0.175,c_cornuta
20.06,17.3565,9.849568015,56.16,1699.95,0.98747,14.972,5.2911,0.071459619,0.171,c_americana
17.12,14.976,9.243487986,45.15,1541.4,0.96569,5.387,4.824,0.072141562,0.17,c_americana
16.3,14.355,8.113921869,43.02,1508.85,0.95986,2.939,4.635,0.072432258,0.167,c_americana
9.81,12.6945,7.40489795,32.4,1319.85,0.9449,13.319,4.5567,0.072489873,0.169,c_avellana
17.14,14.589,9.096316877,45.78,1559.25,0.95656,12.629,4.7826,0.07308836,0.166,c_americana
15.27,15.813,9.492013572,47.07,1548.75,0.99638,3.797,4.5414,0.073180416,0.169,c_americana
10.73,14.1975,8.176181125,38.28,1404.9,0.98604,7.484,4.347,0.073243716,0.169,c_avellana
12.4,13.0905,7.397680209,36.57,1402.8,0.94369,13.571,4.6422,0.07333732,0.173,c_avellana
19.2,14.5395,8.751909295,46.71,1590.75,0.93797,6.92,5.2911,0.073351805,0.166,c_cornuta
11.76,12.006,6.733252011,34.05,1377.6,0.91201,12.011,4.6188,0.073787614,0.174,c_avellana
17.63,14.904,8.672393969,45.78,1558.2,0.9581,5.663,4.698,0.074236518,0.168,c_americana
16.58,16.029,9.388903732,48.42,1573.95,0.99374,3.065,4.6575,0.074340928,0.169,c_americana
11.19,15.2235,8.903407327,41.97,1452.15,1.01013,14.702,4.3029,0.074858267,0.172,c_americana
13.25,12.1545,7.047165688,33.06,1365,0.90079,19.205,4.6467,0.074932148,0.168,c_avellana
13.51,14.211,8.758743881,40.5,1454.25,0.97372,5.747,4.6584,0.07584731,0.173,c_americana
13.51,14.9985,8.663377558,43.77,1499.4,0.98923,11.555,4.3029,0.076073038,0.175,c_americana
22.85,17.388,10.13087224,60.6,1773.45,0.97834,14.519,5.5683,0.076217625,0.173,c_cornuta
10.08,12.825,7.299650698,34.26,1350.3,0.95513,7.1,4.1463,0.076616376,0.17,c_americana
21.44,17.2125,10.38693891,56.82,1713.6,0.98362,7.724,5.3541,0.077291343,0.17,c_cornuta
11.83,13.9095,8.194543762,38.1,1408.05,0.97614,24.368,4.5,0.077401875,0.169,c_avellana
10.89,12.6945,7.284060934,33.69,1346.1,0.94534,21.572,4.4613,0.077405579,0.166,c_avellana
25.73,18.1485,10.21078389,63.54,1807.05,0.98879,16.34,5.6079,0.07773461,0.171,c_cornuta
13.95,13.302,7.524186547,38.22,1435.35,0.94204,6.512,4.3821,0.077949525,0.172,c_americana
11.36,12.4335,7.293975441,34.2,1373.4,0.92125,15.764,4.5801,0.07872267,0.172,c_avellana
18.32,16.5735,9.918182874,51.24,1614.9,0.99869,7.868,4.9356,0.079340232,0.171,c_americana
11.6,14.067,8.055048639,38.4,1414.35,0.9746,13.619,4.4226,0.07973655,0.175,c_avellana
13.57,13.0185,8.018706158,36.63,1414.35,0.92983,3.983,4.6602,0.080050116,0.175,c_avellana
18.77,15.282,9.447217858,46.5,1560.3,0.9702,13.133,4.9752,0.080238761,0.171,c_americana
10.91,12.618,7.431551059,33.81,1350.3,0.94193,10.955,4.5009,0.080528193,0.167,c_avellana
13.63,12.0735,6.860361326,34.68,1397.55,0.90178,11.186,4.6638,0.080967546,0.171,c_avellana
17.91,16.605,9.378957326,52.65,1644.3,0.98901,15.098,5.0949,0.081027481,0.173,c_cornuta
25.81,17.0325,10.26511827,60.3,1783.95,0.96206,4.865,5.8041,0.081241553,0.169,c_cornuta
21.45,16.083,9.456994218,52.08,1654.8,0.96635,9.578,5.3739,0.081269016,0.167,c_cornuta
17.15,14.0085,7.871720323,43.47,1534.05,0.93918,11.348,4.8564,0.081495298,0.169,c_americana
17.89,14.6025,8.820823488,45.03,1549.8,0.95227,4.373,4.5009,0.081639629,0.166,c_americana
17.17,14.337,8.648271243,42.27,1513.05,0.93819,10.76,4.7691,0.081691391,0.173,c_americana
18.45,15.2775,9.064148357,48.48,1609.65,0.95084,11.798,5.2155,0.081728037,0.168,c_cornuta
14.2,14.859,8.849008506,42.33,1480.5,0.98021,7.1,4.5,0.082806404,0.166,c_americana
18.75,15.6015,9.032148381,49.59,1610.7,0.97053,15.596,5.292,0.083022784,0.171,c_cornuta
12.24,13.743,7.933225949,38.37,1420.65,0.96646,15.449,4.4622,0.083210518,0.167,c_avellana
13.63,16.119,9.867003843,47.97,1563.45,0.99704,9.008,4.6296,0.0833444,0.172,c_cornuta
13.88,15.1965,9.433808147,43.38,1506.75,0.96998,7.406,4.5396,0.083459114,0.171,c_americana
18.5,16.047,9.771728213,51.36,1632.75,0.97812,7.574,5.1714,0.083617763,0.168,c_cornuta
10.09,12.645,7.871792902,33.54,1335.6,0.9548,11.153,4.3452,0.084173384,0.174,c_avellana
12.36,14.544,8.902860818,39.6,1434.3,0.97713,23.945,4.5504,0.084184466,0.168,c_avellana
17.76,15.336,9.104888135,46.68,1563.45,0.97053,13.916,5.2623,0.084599561,0.171,c_cornuta
12.63,12.78,7.459334099,35.49,1389.15,0.93456,14.585,4.7763,0.08523694,0.172,c_avellana
10.9,12.2175,7.47236689,33.72,1365,0.91949,9.563,4.5792,0.085288677,0.175,c_avellana
14.95,13.617,8.04574684,38.67,1445.85,0.93951,17.555,4.7844,0.08552022,0.175,c_avellana
16.62,15.3855,8.593053585,46.14,1550.85,0.97427,4.997,4.6998,0.085547936,0.174,c_americana
11.76,12.2355,7.723538573,34.29,1378.65,0.91685,5.663,4.6188,0.085550399,0.175,c_avellana
20.51,17.5365,10.56325069,56.88,1701,0.99847,12.002,5.175,0.085732974,0.173,c_cornuta
25.49,16.515,9.346656718,56.94,1749.3,0.9449,10.073,5.8482,0.086056801,0.167,c_cornuta
13.89,13.833,8.156700721,40.02,1464.75,0.9482,16.985,4.7763,0.086227161,0.173,c_avellana
24.16,16.7355,9.920694117,57.18,1727.25,0.97394,5.744,5.5467,0.086299763,0.169,c_cornuta
14.44,12.051,7.476995808,35.25,1419.6,0.88902,12.134,4.779,0.086723756,0.172,c_avellana
23.84,16.974,9.809705849,58.71,1757.7,0.96569,3.416,5.6457,0.087792388,0.17,c_cornuta
25.79,17.163,10.27543853,62.13,1809.15,0.96393,12.353,5.8059,0.087908341,0.168,c_cornuta
11.32,13.2885,8.058252986,35.61,1367.1,0.96745,9.791,4.6188,0.088249763,0.174,c_avellana
21.07,16.9605,9.636225702,55.35,1692.6,0.98131,5.705,5.2146,0.088521481,0.166,c_cornuta
12.19,13.4505,8.168414576,37.14,1411.2,0.94699,15.416,4.5405,0.088566207,0.173,c_avellana
18.9,16.623,9.777065398,53.97,1665.3,0.98912,5.204,5.2533,0.088742675,0.174,c_cornuta
23.69,16.5645,9.749426273,57.54,1746.15,0.95887,9.071,5.6061,0.088866623,0.168,c_cornuta
22.71,15.804,8.876911162,54.51,1707.3,0.95007,7.559,5.6457,0.089467695,0.169,c_cornuta
20.37,17.037,9.873537229,56.49,1710.45,0.98087,6.659,5.2911,0.08985014,0.166,c_cornuta
14.08,12.7485,7.837966996,36.78,1428,0.91663,13.268,4.824,0.089966109,0.166,c_avellana
12.79,12.0915,7.424022663,33.63,1378.65,0.89837,17.507,4.7475,0.0900969,0.169,c_avellana
13.24,15.2055,9.441504655,41.52,1463.7,0.98505,5.777,4.3245,0.090109067,0.17,c_americana
13.94,12.3525,7.786717989,36.39,1441.65,0.88891,13.475,4.698,0.090113778,0.174,c_avellana
12.67,13.3515,7.980841764,37.47,1413.3,0.95238,12.263,4.5018,0.090212124,0.174,c_avellana
10.11,12.573,7.7227968,33.42,1342.95,0.94138,18.164,4.5441,0.090476426,0.169,c_avellana
15.79,15.579,9.536308396,45.33,1526.7,0.98846,8.384,4.662,0.09054876,0.172,c_americana
12.91,15.0165,8.951663343,42.87,1479.45,0.9955,7.097,4.3425,0.090686201,0.174,c_americana
18.84,14.706,8.917509067,46.14,1564.5,0.95766,12.386,5.2155,0.090835413,0.166,c_cornuta
21.91,16.0245,9.786254885,52.89,1677.9,0.95403,11.228,5.454,0.091138009,0.166,c_cornuta
20.37,17.37,10.26857603,55.77,1685.25,0.99726,17.003,5.2893,0.091148216,0.171,c_cornuta
11.75,12.3975,7.368073055,34.08,1370.25,0.92202,11.144,4.7367,0.091176416,0.169,c_avellana
13.04,12.1275,7.145492718,34.47,1388.1,0.90893,15.164,4.779,0.091242032,0.174,c_avellana
24.93,17.3565,10.43195978,60.09,1774.5,0.96921,8.189,5.688,0.092062683,0.175,c_cornuta
11.45,11.889,6.935169045,32.22,1336.65,0.91619,13.106,4.4667,0.09213735,0.172,c_avellana
14.54,13.3875,7.582903508,39.48,1451.1,0.95282,1.5653,4.5504,0.092175184,0.169,c_americana
22.85,16.173,9.867870035,55.95,1723.05,0.95678,12.173,5.4918,0.092415373,0.172,c_cornuta
21.53,16.533,9.259112981,55.65,1703.1,0.97515,4.214,5.3046,0.092794825,0.17,c_cornuta
11.38,14.4045,8.646675359,39.48,1422.75,0.99099,6.383,4.3047,0.093107643,0.175,c_americana
10.99,13.212,7.733342151,36.24,1389.15,0.95304,3.245,4.4649,0.093146114,0.171,c_americana
20.84,16.938,9.584200611,56.64,1707.3,0.98659,3.947,5.4981,0.093161343,0.17,c_cornuta
13.95,13.617,7.875526697,39.06,1444.8,0.95051,9.119,4.3425,0.093168773,0.168,c_americana
14.38,14.4045,8.137893389,42.09,1486.8,0.96756,4.151,4.5009,0.093333225,0.168,c_americana
26.75,16.9335,9.867179391,59.82,1776.6,0.96272,8.756,5.895,0.093770619,0.175,c_cornuta
18.72,15.624,8.894797752,48.69,1593.9,0.9735,10.307,5.3298,0.094405991,0.174,c_cornuta
21.72,17.082,9.821723044,56.28,1701,0.98824,8.36,5.4477,0.094495376,0.172,c_cornuta
22.27,16.9605,9.618423999,56.67,1704.15,0.99088,9.917,5.3694,0.09497878,0.171,c_cornuta
14.79,14.202,8.864132181,41.34,1476.3,0.96349,8.408,4.3848,0.095321917,0.173,c_americana
18.32,14.787,8.489029543,46.8,1586.55,0.9438,7.175,5.1768,0.095770255,0.167,c_cornuta
16.58,14.0805,8.80794203,42.48,1512,0.94424,8.216,4.6584,0.095834093,0.168,c_americana
15.7,15.1965,8.696744552,44.97,1528.8,0.97713,7.874,4.6575,0.095988585,0.17,c_americana
14.1,13.0995,7.846757515,37.86,1435.35,0.93291,8.918,4.7079,0.09668055,0.171,c_avellana
20.17,15.687,8.794082528,50.46,1628.55,0.96646,11.012,5.2569,0.096695317,0.168,c_cornuta
15.63,14.6655,8.375779422,44.07,1521.45,0.96789,9.758,4.6971,0.096765874,0.166,c_americana
17.57,15.1695,9.098228491,46.47,1568.7,0.95964,9.236,4.7052,0.097574124,0.17,c_americana
18.33,15.3945,9.469039277,48.57,1591.8,0.97339,1.709,4.7763,0.098623512,0.171,c_americana
13.33,13.356,7.875741111,37.65,1424.85,0.94138,12.257,4.6584,0.09936123,0.168,c_cornuta
13.76,14.1975,7.960626109,41.4,1474.2,0.96734,3.68,4.4649,0.099465173,0.173,c_americana
11.37,13.4145,8.149840497,36.57,1386,0.96613,9.893,4.383,0.099551311,0.169,c_avellana
9.02,12.9555,7.572287267,33.69,1326.15,0.9724,5.807,4.2327,0.099610547,0.166,c_cornuta
17.62,15.2415,8.850863182,48.51,1614.9,0.94468,11.858,5.1327,0.09961506,0.175,c_cornuta
15.85,14.175,8.861027239,41.82,1487.85,0.96008,5.372,4.5108,0.100123148,0.172,c_americana
21.83,17.559,9.828308399,57.39,1712.55,0.99385,5.327,5.3316,0.100567153,0.174,c_cornuta
21.13,17.514,9.837131822,58.38,1732.5,0.98835,11.924,5.4081,0.100874777,0.175,c_cornuta
